tipo,codigo,latitud,longitud,id_barrio
POS,1024702,3.45113455103,-76.5308932441,737998832
POS,1076402,3.446585066,-76.51767196,738000381
POS,1077002,3.446585066,-76.51767196,738000381
POS,3342404,3.47690913568,-76.4852860708,737998905
POS,3378003,3.485575262,-76.51641831,737998174
POS,3445704,3.43218484632,-76.5019967069,738000399
POS,3464704,3.396438555,-76.50997719,737996909
POS,3511004,3.43605717099,-76.526317436,737999435
POS,3655304,3.473361719,-76.52049836,737998812
POS,3680504,3.40272377186,-76.5113385744,737996914
POS,3803003,3.45264522525,-76.5146563876,737998761
POS,3831404,3.49420039637,-76.4877902912,737998848
POS,3906604,3.38515678533,-76.5386461797,738000366
POS,3920804,3.451853978,-76.52913033,737998832
POS,5013602,3.450511367,-76.54039205,737998685
POS,10004513,3.467341826,-76.52431219,737998251
POS,10004612,3.461619607,-76.52690179,737998204
POS,10005031,3.44975488707,-76.531958461,737998832
POS,10295574,3.461990652,-76.5310789,737998194
POS,10295798,3.462112626,-76.53107322,737998194
POS,10296309,3.462168723,-76.5264886,737998251
POS,10300408,3.470768407,-76.52941344,737998194
POS,10301521,3.467718226,-76.52698066,737998251
POS,10301638,3.466494945,-76.52773523,737998251
POS,10302479,3.4805429531,-76.5165617635,737998219
POS,10304228,3.45007482107,-76.5311700708,737998832
POS,10304525,3.451482025,-76.52835325,737998935
POS,10304616,3.449039556,-76.53186893,737998832
POS,10305555,3.453315762,-76.53153771,737998832
POS,10306629,3.45047433181,-76.5321967148,737998832
POS,10307171,3.45065960863,-76.5333611053,737998832
POS,10307338,3.4485640998,-76.5329837091,737998195
POS,10310282,3.43424716385,-76.5454919883,737999403
POS,10311264,3.429822419,-76.53285643,738000413
POS,10311397,3.428574848,-76.53656907,737998120
POS,10311603,3.39798352469,-76.543937256,737998847
POS,10312833,3.43413137271,-76.536946879,737998087
POS,10312866,3.42615800667,-76.5389529737,737998082
POS,10312874,3.42644314791,-76.5388509747,737998082
POS,10313096,3.433166871,-76.53532885,737998087
POS,10313344,3.40223011356,-76.5416175872,738001440
POS,10313666,3.43302411265,-76.5281931816,738068452
POS,10313740,3.39669054608,-76.5349138045,737998941
POS,10313989,3.435921864,-76.52716548,738068452
POS,10314151,3.4294746679,-76.5314442456,738000413
POS,10315448,3.39062673486,-76.5418029181,737998851
POS,10315992,3.42839109898,-76.531938543,738000413
POS,10316081,3.427196889,-76.53078766,738000413
POS,10316693,3.450511126,-76.53831413,737998685
POS,10316933,3.44358254,-76.52185432,738000401
POS,10317998,3.442311029,-76.53071325,737999435
POS,10318517,3.44285258131,-76.5321121768,737999438
POS,10320729,3.452590576,-76.50927717,737998767
POS,10324960,3.450418621,-76.53158091,737998832
POS,10327385,3.468623902,-76.52676154,737998251
POS,10332260,3.450463211,-76.53172589,737998832
POS,10332369,3.45143721986,-76.5318710036,737998832
POS,10336683,3.457849738,-76.53436597,737998259
POS,10337137,3.442777241,-76.52540299,737999416
POS,10337202,3.45349291,-76.52770239,737998935
POS,10338846,3.459175999,-76.53231927,737998259
POS,10461374,3.480854423,-76.52467565,737998149
POS,10465573,3.47175858447,-76.5005248667,737999418
POS,10520575,3.463253171,-76.5304016,737998194
POS,10530194,3.452555908,-76.51195879,737998761
POS,10530376,3.461347892,-76.5289406,737998204
POS,10530590,3.476881164,-76.52454839,737998149
POS,10534287,3.463750512,-76.5274415,737998251
POS,10534907,3.469397968,-76.52828147,737998194
POS,10535029,3.41154580758,-76.546683784,738001441
POS,10537231,3.44351771169,-76.5199841041,738000401
POS,10537850,3.43256573753,-76.5351342973,737998120
POS,10540243,3.430345723,-76.53886504,737998087
POS,10540532,3.45985993776,-76.523239116,737998932
POS,10543833,3.45053261413,-76.5320779112,737998832
POS,10543924,3.45104498864,-76.5468832527,737996733
POS,10544286,3.40605688748,-76.5515933688,738001427
POS,10552164,3.45223983134,-76.5325607817,737998832
POS,10563864,3.36887817719,-76.5370202087,738000383
POS,10570281,3.398993553,-76.53782639,737998922
POS,10576544,3.398004976,-76.54099635,737998922
POS,10583003,3.466815234,-76.52675565,737998251
POS,10586840,3.487210168,-76.52560793,737998149
POS,10599991,3.47516473123,-76.5177703218,737998219
POS,10601169,3.440501664,-76.53585724,737999438
POS,10614642,3.47649912689,-76.5043134773,738000115
POS,10622736,3.4290709508,-76.5381850668,737998087
POS,10624625,3.396849877,-76.53820707,737998922
POS,10625382,3.48145163341,-76.5235009744,737998149
POS,10633303,3.452278844,-76.5368641,737998275
POS,10635076,3.450382252,-76.53157003,737998832
POS,10637650,3.47008783591,-76.5322397227,737998829
POS,10639599,3.47996259925,-76.5274459198,737998257
POS,10641389,3.463855859,-76.53127353,737998194
POS,10643013,3.4422348867,-76.5403557209,737998692
POS,10644011,3.45738590083,-76.5218181259,737998935
POS,10644763,3.45114142839,-76.5141452567,737998761
POS,10648392,3.45211524527,-76.5253567196,737998935
POS,10650729,3.480854423,-76.52467565,737998149
POS,10652055,3.459475026,-76.53407474,737998259
POS,10662344,3.450288527,-76.53443821,737998287
POS,10665990,3.459039691,-76.53241818,737998259
POS,10667715,3.44060283184,-76.5280662679,737999435
POS,10667780,3.33959939839,-76.5269601577,737996810
POS,10667822,3.43304993,-76.53879564,737998087
POS,10667830,3.4209621708,-76.5372927244,737998111
POS,10667863,3.40666315469,-76.547411144,738001426
POS,10668630,3.40788520634,-76.5380740138,737998921
POS,10670776,3.444256009,-76.52081856,737998290
POS,10686434,3.45881493018,-76.5347723078,737998259
POS,10695849,3.433388187,-76.53877833,737998087
POS,10696623,3.40152685027,-76.5241004312,737998244
POS,10711398,3.441440968,-76.53400229,737998164
POS,10717254,3.430801441,-76.53601904,737998087
POS,10720191,3.41890641613,-76.5015488332,737996729
POS,10727576,3.419226449,-76.55081272,737998091
POS,10736635,3.437047233,-76.52071062,737998834
POS,10741668,3.437641221,-76.5363795,737999431
POS,10747723,3.460276516,-76.53095727,737998259
POS,10754646,3.463378615,-76.53024465,737998204
POS,10777928,3.43253624927,-76.5385319242,737998087
POS,10778264,3.42176879149,-76.5417335488,737998111
POS,10779775,3.46903345961,-76.5306047949,737998194
POS,10785822,3.462224706,-76.52906188,737998204
POS,10793313,3.45019216914,-76.5330743996,737998832
POS,10804987,3.455190079,-76.53138098,737998832
POS,10805307,3.43006089032,-76.518666833,737996814
POS,10819001,3.434687759,-76.54177754,737999403
POS,10823557,3.464864667,-76.5302598,737998194
POS,10837490,3.448393896,-76.52980078,737998912
POS,10840932,3.46664896291,-76.5269556511,737998251
POS,10849685,3.46000768251,-76.510360405,737998754
POS,10864262,3.450511367,-76.54039205,737998685
POS,10877066,3.458715738,-76.53370349,737998259
POS,10882413,3.448380195,-76.50052253,737999433
POS,10896827,3.45212690941,-76.4847448462,737999402
POS,10904472,3.47292372348,-76.5208099145,737998812
POS,10909554,3.392461369,-76.53369924,737998941
POS,10911907,3.40817484684,-76.5390593699,737998921
POS,10919884,3.459902777,-76.53267708,737998259
POS,10923837,3.47185780846,-76.5265308417,737998251
POS,10930162,3.44471411137,-76.5050581541,738000362
POS,10933075,3.468171711,-76.52910863,737998251
POS,10940179,3.468181886,-76.53094199,737998194
POS,10944510,3.444954258,-76.51302181,737998242
POS,10950160,3.451419337,-76.52980843,737998832
POS,10950582,3.46861941399,-76.5140422939,737998797
POS,10954105,3.466224266,-76.52938804,737998251
POS,10955573,3.451006834,-76.53304959,737998832
POS,10958437,3.42823100436,-76.5449173895,737999414
POS,10964567,3.37111916819,-76.5277405079,738000407
POS,10969624,3.435923355,-76.52702561,738068452
POS,10978989,3.431142301,-76.5214722,738018074
POS,10990695,3.48330910708,-76.4965191071,737998913
POS,11001906,3.452276214,-76.52872962,737998935
POS,11007119,3.43430944375,-76.5374755867,737998087
POS,11013463,3.42264528025,-76.5324895185,737998100
POS,11017753,3.466526652,-76.5133565,737998797
POS,11017761,3.47944521244,-76.5265607305,737998252
POS,11021987,3.44656270817,-76.5036759418,737998772
POS,11026028,3.449381106,-76.53062226,737998832
POS,11027398,3.448239942,-76.4994382543,737999433
POS,11036282,3.40088314594,-76.5420913448,737998847
POS,11041936,3.46326749,-76.52687812,737998251
